Target	Month	Day	Hr	Min	Hang	Vang	Dslope	X	Y	Z
3333	6	19	21	32	121.04833	266.07361	1145.604	4020.815	5589.476	923.346
3333	6	19	21	32	301.04917	93.93389	1145.603	4020.834	5589.485	923.193
RRRR	6	19	21	45	180.00806	94.38472	23.078	4999.997	4976.99	999.936
RRRR	6	19	21	45	0.00722	265.62389	23.078	4999.997	4976.99	999.939
1111	6	19	21	45	112.30667	265.70306	1131.6	3956.012	5428.311	916.999
1111	6	19	21	46	292.30861	94.30444	1131.598	3956.039	5428.343	916.854
2222	6	19	21	46	309.98444	93.09361	1504.559	3848.843	5965.399	920.656
2222	6	19	21	47	129.98194	266.91417	1504.557	3848.798	5965.36	920.862
3333	6	19	21	47	121.04111	266.07472	1145.534	4020.801	5589.32	923.37
3333	6	19	21	47	301.04194	93.93139	1145.532	4020.819	5589.328	923.249
RRRR	6	19	22	0	180.00722	94.38472	23.078	4999.997	4976.99	999.936
RRRR	6	19	22	0	0.00667	265.62278	23.078	4999.997	4976.99	999.939
1111	6	19	22	1	112.29944	265.70389	1131.545	3956.008	5428.161	917.019
1111	6	19	22	1	292.30139	94.3025	1131.544	3956.033	5428.194	916.895
2222	6	19	22	1	309.98	93.09139	1504.472	3848.832	5965.256	920.717
2222	6	19	22	2	129.97861	266.915	1504.471	3848.805	5965.236	920.889
3333	6	19	22	2	121.03444	266.07694	1145.46	4020.791	5589.167	923.422
3333	6	19	22	2	301.03611	93.93056	1145.459	4020.82	5589.192	923.271
RRRR	6	19	22	15	180.00861	94.38556	23.078	4999.996	4976.99	999.935
RRRR	6	19	22	15	0.00667	265.62556	23.078	4999.997	4976.99	999.94
1111	6	19	22	16	112.29222	265.70778	1131.489	3956	5428.01	917.102
1111	6	19	22	16	292.29417	94.30083	1131.488	3956.028	5428.041	916.932
2222	6	19	22	16	309.97528	93.09139	1504.384	3848.824	5965.111	920.724
2222	6	19	22	17	129.97361	266.91694	1504.383	3848.784	5965.079	920.947
3333	6	19	22	17	121.02806	266.07944	1145.387	4020.787	5589.026	923.477
3333	6	19	22	17	301.02944	93.93028	1145.385	4020.814	5589.04	923.281
RRRR	6	19	22	30	180.0075	94.38528	23.078	4999.997	4976.99	999.935
RRRR	6	19	22	30	0.00639	265.62333	23.078	4999.997	4976.989	999.939
1111	6	19	22	31	112.28472	265.70833	1131.433	3955.995	5427.852	917.118
1111	6	19	22	31	292.28722	94.29611	1131.434	3956.019	5427.893	917.028
2222	6	19	22	31	309.97056	93.09	1504.295	3848.809	5964.957	920.768
2222	6	19	22	32	129.96889	266.91972	1504.293	3848.771	5964.929	921.022
3333	6	19	22	32	121.02167	266.08194	1145.315	4020.78	5588.879	923.528
3333	6	19	22	32	301.02333	93.92667	1145.312	4020.808	5588.898	923.357
RRRR	6	19	22	45	180.00861	94.385	23.078	4999.997	4976.99	999.936
RRRR	6	19	22	45	0.00778	265.6225	23.078	4999.997	4976.989	999.939
1111	6	19	22	46	112.27889	265.71083	1131.378	3955.998	5427.725	917.174
1111	6	19	22	46	292.28083	94.29528	1131.377	3956.023	5427.757	917.052
2222	6	19	22	46	309.96833	93.08667	1504.208	3848.835	5964.859	920.856
2222	6	19	22	47	129.96611	266.91806	1504.205	3848.797	5964.82	920.986
3333	6	19	22	47	121.01528	266.08056	1145.24	4020.78	5588.731	923.507
3333	6	19	22	47	301.01722	93.92611	1145.239	4020.81	5588.761	923.373
RRRR	6	19	23	0	180.00694	94.38444	23.078	4999.997	4976.989	999.936
RRRR	6	19	23	0	0.00694	265.62306	23.078	4999.997	4976.989	999.939
1111	6	19	23	1	112.2725	265.71389	1131.323	3955.999	5427.593	917.235
1111	6	19	23	1	292.27333	94.29361	1131.323	3956.015	5427.604	917.086
2222	6	19	23	1	309.96417	93.0875	1504.12	3848.833	5964.719	920.841
2222	6	19	23	2	129.96111	266.92	1504.118	3848.775	5964.662	921.036
3333	6	19	23	2	121.00917	266.08333	1145.168	4020.777	5588.593	923.566
3333	6	19	23	2	301.0125	93.92389	1145.165	4020.821	5588.643	923.421
RRRR	6	19	23	15	180.00944	94.38417	23.078	4999.996	4976.99	999.936
RRRR	6	19	23	15	0.00722	265.62167	23.078	4999.997	4976.989	999.938
1111	6	19	23	16	112.26639	265.71694	1131.268	3955.999	5427.46	917.298
1111	6	19	23	16	292.26722	94.29056	1131.269	3956.015	5427.472	917.152
2222	6	19	23	16	309.95917	93.08667	1504.032	3848.814	5964.56	920.866
2222	6	19	23	17	129.95639	266.92	1504.029	3848.765	5964.512	921.044
3333	6	19	23	17	121.00389	266.085	1145.094	4020.784	5588.466	923.606
3333	6	19	23	17	301.00556	93.92306	1145.092	4020.81	5588.486	923.445
RRRR	6	19	23	30	180.00889	94.38389	23.078	4999.996	4976.99	999.936
RRRR	6	19	23	30	0.00722	265.62306	23.078	4999.997	4976.99	999.939
1111	6	19	23	31	112.25861	265.7175	1131.216	3955.989	5427.3	917.312
1111	6	19	23	31	292.26	94.2875	1131.214	3956.007	5427.323	917.218
2222	6	19	23	31	309.95639	93.08528	1503.944	3848.836	5964.454	920.911
2222	6	19	23	32	129.95361	266.92028	1503.941	3848.784	5964.398	921.055
3333	6	19	23	32	120.9975	266.08667	1145.022	4020.778	5588.321	923.641
3333	6	19	23	32	300.99861	93.91972	1145.019	4020.798	5588.333	923.515
RRRR	6	19	23	45	180.01	94.38472	23.078	4999.996	4976.99	999.936
RRRR	6	19	23	45	0.00722	265.62361	23.078	4999.997	4976.99	999.939
1111	6	19	23	46	112.25167	265.72167	1131.162	3955.981	5427.156	917.399
1111	6	19	23	46	292.25417	94.28556	1131.162	3956.009	5427.198	917.259
2222	6	19	23	46	309.95222	93.08472	1503.855	3848.831	5964.31	920.926
2222	6	19	23	47	129.95	266.92417	1503.853	3848.788	5964.276	921.162
3333	6	19	23	47	120.99139	266.08917	1144.951	4020.77	5588.179	923.7
3333	6	19	23	47	300.99194	93.91833	1144.948	4020.789	5588.184	923.55
RRRR	6	20	0	0	180.00889	94.38306	23.078	4999.996	4976.99	999.936
RRRR	6	20	0	0	0.00861	265.62222	23.078	4999.996	4976.989	999.938
1111	6	20	0	1	112.24528	265.72194	1131.112	3955.979	5427.02	917.412
1111	6	20	0	1	292.24639	94.28389	1131.111	3955.996	5427.035	917.294
2222	6	20	0	1	309.94583	93.0825	1503.766	3848.79	5964.128	920.993
2222	6	20	0	2	129.94472	266.92417	1503.764	3848.764	5964.108	921.165
3333	6	20	0	2	120.98417	266.09139	1144.879	4020.756	5588.02	923.746
3333	6	20	0	2	300.98639	93.91639	1144.877	4020.791	5588.054	923.592
RRRR	6	20	0	15	180.00944	94.38583	23.078	4999.996	4976.99	999.935
RRRR	6	20	0	15	0.00861	265.62417	23.078	4999.997	4976.99	999.939
1111	6	20	0	16	112.23722	265.72472	1131.06	3955.964	5426.857	917.469
1111	6	20	0	16	292.23861	94.28361	1131.059	3955.985	5426.876	917.306
2222	6	20	0	16	309.94333	93.08194	1503.679	3848.816	5964.024	921.013
2222	6	20	0	17	129.94056	266.92639	1503.676	3848.759	5963.97	921.231
3333	6	20	0	17	120.97778	266.09222	1144.81	4020.75	5587.879	923.77
3333	6	20	0	17	300.97972	93.91611	1144.806	4020.783	5587.905	923.605
RRRR	6	20	0	30	180.00944	94.385	23.078	4999.996	4976.99	999.936
RRRR	6	20	0	30	0.00833	265.62278	23.078	4999.997	4976.99	999.939
1111	6	20	0	31	112.23083	265.72556	1131.013	3955.959	5426.724	917.491
1111	6	20	0	31	292.2325	94.28167	1131.012	3955.981	5426.749	917.345
2222	6	20	0	31	309.93889	93.08167	1503.59	3848.808	5963.877	921.024
2222	6	20	0	32	129.93667	266.92611	1503.589	3848.762	5963.838	921.225
3333	6	20	0	32	120.97139	266.09417	1144.74	4020.741	5587.735	923.815
3333	6	20	0	32	300.97306	93.9175	1144.738	4020.773	5587.751	923.577
RRRR	6	20	0	45	180.00861	94.385	23.078	4999.997	4976.99	999.936
RRRR	6	20	0	45	0.0075	265.62222	23.078	4999.997	4976.99	999.938
1111	6	20	0	45	112.22361	265.72556	1130.964	3955.949	5426.572	917.493
1111	6	20	0	46	292.22472	94.28028	1130.964	3955.965	5426.587	917.377
2222	6	20	0	46	309.93389	93.08	1503.503	3848.787	5963.72	921.07
2222	6	20	0	47	129.93278	266.92528	1503.501	3848.765	5963.703	921.21
3333	6	20	0	47	120.965	266.09278	1144.672	4020.736	5587.59	923.79
3333	6	20	0	47	300.96694	93.91444	1144.67	4020.764	5587.614	923.648
RRRR	6	20	1	0	180.00861	94.38444	23.078	4999.997	4976.99	999.936
RRRR	6	20	1	0	0.00778	265.6225	23.078	4999.997	4976.99	999.939
1111	6	20	1	1	112.21667	265.72583	1130.92	3955.938	5426.429	917.501
1111	6	20	1	1	292.21806	94.27889	1130.919	3955.956	5426.451	917.407
2222	6	20	1	1	309.93	93.07972	1503.416	3848.788	5963.587	921.079
2222	6	20	1	2	129.92889	266.92611	1503.415	3848.764	5963.57	921.238
3333	6	20	1	2	120.95778	266.09278	1144.604	4020.72	5587.431	923.793
3333	6	20	1	2	300.96083	93.91389	1144.601	4020.76	5587.475	923.661
RRRR	6	20	1	15	180.00972	94.38528	23.078	4999.996	4976.99	999.935
RRRR	6	20	1	15	0.00778	265.62194	23.078	4999.997	4976.989	999.938
1111	6	20	1	15	112.20778	265.72667	1130.875	3955.912	5426.25	917.522
1111	6	20	1	16	292.21056	94.27861	1130.874	3955.941	5426.297	917.416
2222	6	20	1	16	309.92583	93.08028	1503.329	3848.786	5963.448	921.071
2222	6	20	1	17	129.92278	266.92694	1503.328	3848.73	5963.395	921.265
3333	6	20	1	17	120.95083	266.09222	1144.538	4020.705	5587.278	923.791
3333	6	20	1	17	300.95222	93.91417	1144.535	4020.728	5587.293	923.66
RRRR	6	20	1	30	180.00833	94.385	23.078	4999.997	4976.99	999.936
RRRR	6	20	1	30	0.00694	265.62389	23.078	4999.997	4976.989	999.939
1111	6	20	1	31	112.20194	265.72639	1130.831	3955.909	5426.126	917.516
1111	6	20	1	31	292.20222	94.27972	1130.829	3955.921	5426.126	917.399
2222	6	20	1	31	309.92111	93.08028	1503.242	3848.771	5963.295	921.075
2222	6	20	1	32	129.91833	266.92611	1503.24	3848.72	5963.245	921.247
3333	6	20	1	32	120.94361	266.09222	1144.472	4020.687	5587.118	923.79
3333	6	20	1	32	300.94611	93.91472	1144.469	4020.724	5587.156	923.653
RRRR	6	20	1	45	180.01028	94.38444	23.078	4999.996	4976.99	999.936
RRRR	6	20	1	45	0.00833	265.6225	23.078	4999.997	4976.989	999.939
1111	6	20	1	46	112.1925	265.72694	1130.79	3955.878	5425.942	917.532
1111	6	20	1	46	292.19444	94.27861	1130.79	3955.899	5425.973	917.423
2222	6	20	1	46	309.91583	93.07944	1503.155	3848.751	5963.137	921.1
2222	6	20	1	47	129.91444	266.92611	1503.154	3848.721	5963.111	921.252
3333	6	20	1	47	120.93639	266.09389	1144.408	4020.667	5586.966	923.829
3333	6	20	1	47	300.93917	93.91222	1144.406	4020.704	5587.006	923.707
RRRR	6	20	2	0	180.01056	94.38639	23.078	4999.996	4976.99	999.935
RRRR	6	20	2	0	0.00917	265.62361	23.078	4999.996	4976.99	999.939
1111	6	20	2	0	112.18583	265.72722	1130.75	3955.864	5425.804	917.54
1111	6	20	2	1	292.1875	94.27972	1130.75	3955.885	5425.83	917.401
2222	6	20	2	1	309.91222	93.08056	1503.068	3848.759	5963.009	921.08
2222	6	20	2	2	129.90944	266.92722	1503.066	3848.706	5962.959	921.285
3333	6	20	2	2	120.93	266.09167	1144.343	4020.66	5586.822	923.793
3333	6	20	2	2	300.93278	93.915	1144.341	4020.696	5586.861	923.66
RRRR	6	20	2	15	180.01	94.385	23.078	4999.996	4976.99	999.936
RRRR	6	20	2	15	0.01	265.62361	23.078	4999.996	4976.989	999.939
1111	6	20	2	16	112.17667	265.72611	1130.711	3955.834	5425.621	917.52
1111	6	20	2	16	292.17972	94.27944	1130.711	3955.864	5425.675	917.41
2222	6	20	2	16	309.90611	93.08056	1502.982	3848.721	5962.828	921.082
2222	6	20	2	17	129.90444	266.92556	1502.98	3848.686	5962.799	921.247
3333	6	20	2	17	120.92194	266.09306	1144.279	4020.63	5586.652	923.825
3333	6	20	2	17	300.925	93.915	1144.276	4020.671	5586.694	923.664
RRRR	6	20	2	30	180.00972	94.38472	23.078	4999.996	4976.99	999.936
RRRR	6	20	2	30	0.0075	265.62306	23.078	4999.997	4976.99	999.939
1111	6	20	2	31	112.16889	265.72444	1130.672	3955.814	5425.467	917.491
1111	6	20	2	31	292.17139	94.28222	1130.673	3955.84	5425.504	917.362
2222	6	20	2	31	309.90194	93.08139	1502.894	3848.72	5962.69	921.069
2222	6	20	2	32	129.90028	266.925	1502.892	3848.685	5962.659	921.234
3333	6	20	2	32	120.91528	266.09139	1144.214	4020.62	5586.503	923.792
3333	6	20	2	32	300.9175	93.91528	1144.212	4020.652	5586.536	923.663
RRRR	6	20	2	45	180.01056	94.38611	23.078	4999.996	4976.99	999.935
RRRR	6	20	2	45	0.00833	265.62306	23.078	4999.997	4976.99	999.939
1111	6	20	2	46	112.16056	265.72417	1130.637	3955.784	5425.297	917.488
1111	6	20	2	46	292.16306	94.28194	1130.636	3955.813	5425.342	917.367
2222	6	20	2	46	309.89667	93.08083	1502.807	3848.694	5962.524	921.083
2222	6	20	2	47	129.89556	266.92611	1502.805	3848.67	5962.508	921.269
3333	6	20	2	47	120.90833	266.09222	1144.149	4020.603	5586.352	923.812
3333	6	20	2	47	300.90972	93.91556	1144.147	4020.627	5586.366	923.659
RRRR	6	20	3	0	180.00917	94.38417	23.078	4999.996	4976.99	999.936
RRRR	6	20	3	0	0.00889	265.62278	23.078	4999.996	4976.989	999.939
1111	6	20	3	1	112.15194	265.72361	1130.599	3955.757	5425.13	917.483
1111	6	20	3	1	292.15278	94.28389	1130.598	3955.774	5425.139	917.332
2222	6	20	3	1	309.89139	93.08139	1502.72	3848.673	5962.363	921.076
2222	6	20	3	2	129.89	266.92389	1502.718	3848.647	5962.34	921.215
3333	6	20	3	2	120.90056	266.08833	1144.084	4020.583	5586.181	923.741
3333	6	20	3	2	300.90306	93.91833	1144.082	4020.618	5586.218	923.608
RRRR	6	20	3	15	180.00889	94.38583	23.078	4999.996	4976.99	999.935
RRRR	6	20	3	15	0.00778	265.625	23.078	4999.997	4976.99	999.94
1111	6	20	3	16	112.14417	265.725	1130.563	3955.729	5424.971	917.508
1111	6	20	3	16	292.14528	94.28528	1130.564	3955.752	5424.989	917.307
2222	6	20	3	16	309.8875	93.08389	1502.634	3848.677	5962.228	921.018
2222	6	20	3	17	129.885	266.92694	1502.632	3848.628	5962.19	921.297
3333	6	20	3	17	120.89306	266.09083	1144.021	4020.559	5586.026	923.798
3333	6	20	3	17	300.89556	93.92	1144.02	4020.597	5586.057	923.577
RRRR	6	20	3	30	180.00722	94.38306	23.078	4999.997	4976.99	999.936
RRRR	6	20	3	30	0.00833	265.62111	23.078	4999.997	4976.99	999.938
1111	6	20	3	31	112.13556	265.71806	1130.529	3955.708	5424.801	917.376
1111	6	20	3	31	292.13806	94.28639	1130.53	3955.731	5424.844	917.291
2222	6	20	3	31	309.88222	93.08333	1502.547	3848.656	5962.068	921.032
2222	6	20	3	32	129.88056	266.9225	1502.544	3848.625	5962.04	921.19
3333	6	20	3	32	120.88583	266.08444	1143.96	4020.544	5585.865	923.674
3333	6	20	3	32	300.88806	93.92028	1143.957	4020.574	5585.897	923.579
RRRR	6	20	3	45	180.00833	94.38444	23.078	4999.997	4976.99	999.936
RRRR	6	20	3	45	0.0075	265.62167	23.078	4999.997	4976.99	999.938
1111	6	20	3	45	112.12778	265.71722	1130.497	3955.681	5424.646	917.362
1111	6	20	3	46	292.13	94.28722	1130.495	3955.704	5424.681	917.276
2222	6	20	3	46	309.87667	93.08333	1502.461	3848.63	5961.903	921.041
2222	6	20	3	46	129.875	266.92222	1502.459	3848.595	5961.871	921.184
3333	6	20	3	47	120.87778	266.08472	1143.899	4020.513	5585.696	923.684
3333	6	20	3	47	300.87972	93.92111	1143.897	4020.54	5585.721	923.565
RRRR	6	20	4	0	180.00944	94.38528	23.078	4999.996	4976.99	999.935
RRRR	6	20	4	0	0.00917	265.62361	23.078	4999.996	4976.989	999.939
1111	6	20	4	1	112.11889	265.71639	1130.46	3955.648	5424.467	917.349
1111	6	20	4	1	292.12083	94.28917	1130.462	3955.669	5424.499	917.24
2222	6	20	4	1	309.8725	93.08306	1502.373	3848.626	5961.763	921.049
2222	6	20	4	2	129.87028	266.92306	1502.371	3848.58	5961.718	921.209
3333	6	20	4	2	120.86972	266.08583	1143.838	4020.48	5585.525	923.706
3333	6	20	4	2	300.8725	93.92222	1143.836	4020.519	5585.566	923.548
RRRR	6	20	4	15	180.00889	94.38583	23.078	4999.996	4976.99	999.935
RRRR	6	20	4	15	0.00889	265.62306	23.078	4999.996	4976.99	999.939
1111	6	20	4	16	112.11056	265.71278	1130.428	3955.622	5424.301	917.279
1111	6	20	4	16	292.11222	94.29194	1130.428	3955.641	5424.33	917.189
2222	6	20	4	16	309.86778	93.085	1502.285	3848.617	5961.609	921.006
2222	6	20	4	17	129.865	266.92139	1502.283	3848.564	5961.557	921.17
3333	6	20	4	17	120.8625	266.08194	1143.777	4020.466	5585.372	923.632
3333	6	20	4	17	300.86361	93.92222	1143.775	4020.481	5585.383	923.553
RRRR	6	20	4	30	180.00889	94.38528	23.078	4999.996	4976.99	999.935
RRRR	6	20	4	30	0.00833	265.62306	23.078	4999.997	4976.99	999.939
1111	6	20	4	31	112.10167	265.71167	1130.396	3955.588	5424.129	917.262
1111	6	20	4	31	292.10389	94.29417	1130.394	3955.613	5424.163	917.148
2222	6	20	4	31	309.8625	93.08667	1502.199	3848.595	5961.446	920.965
2222	6	20	4	32	129.85944	266.92056	1502.196	3848.54	5961.392	921.158
3333	6	20	4	32	120.85444	266.08056	1143.718	4020.435	5585.201	923.612
3333	6	20	4	32	300.85583	93.925	1143.716	4020.458	5585.222	923.5
RRRR	6	20	4	45	180.01	94.385	23.078	4999.996	4976.99	999.936
RRRR	6	20	4	45	0.00778	265.62111	23.078	4999.997	4976.99	999.938
1111	6	20	4	45	112.09361	265.71	1130.361	3955.563	5423.968	917.229
1111	6	20	4	46	292.09528	94.29528	1130.361	3955.582	5423.995	917.127
2222	6	20	4	46	309.8575	93.08694	1502.112	3848.579	5961.29	920.96
2222	6	20	4	46	129.85639	266.91889	1502.11	3848.555	5961.271	921.113
3333	6	20	4	47	120.84778	266.08	1143.657	4020.418	5585.054	923.605
3333	6	20	4	47	300.84833	93.92583	1143.655	4020.434	5585.06	923.486
RRRR	6	20	5	0	180.01028	94.385	23.078	4999.996	4976.99	999.936
RRRR	6	20	5	0	0.00806	265.62222	23.078	4999.997	4976.99	999.938
1111	6	20	5	1	112.08444	265.70722	1130.325	3955.532	5423.785	917.18
1111	6	20	5	1	292.08583	94.29806	1130.325	3955.548	5423.805	917.074
2222	6	20	5	1	309.8525	93.08833	1502.023	3848.562	5961.128	920.931
2222	6	20	5	2	129.85083	266.91667	1502.021	3848.53	5961.099	921.062
3333	6	20	5	2	120.83944	266.07833	1143.595	4020.389	5584.88	923.575
3333	6	20	5	2	300.84056	93.92806	1143.594	4020.411	5584.896	923.447
RRRR	6	20	5	15	180.00889	94.38472	23.078	4999.996	4976.99	999.936
RRRR	6	20	5	15	0.00889	265.62306	23.078	4999.996	4976.989	999.939
1111	6	20	5	16	112.07639	265.7075	1130.292	3955.502	5423.625	917.188
1111	6	20	5	16	292.0775	94.3	1130.291	3955.522	5423.641	917.041
2222	6	20	5	16	309.84778	93.08778	1501.937	3848.552	5960.984	920.951
2222	6	20	5	17	129.84528	266.91917	1501.935	3848.5	5960.934	921.135
3333	6	20	5	17	120.83083	266.07583	1143.537	4020.355	5584.704	923.532
3333	6	20	5	17	300.83278	93.92972	1143.533	4020.384	5584.73	923.419
RRRR	6	20	5	30	180.01111	94.38611	23.078	4999.996	4976.99	999.935
RRRR	6	20	5	30	0.00806	265.62333	23.078	4999.997	4976.989	999.939
1111	6	20	5	30	112.06806	265.70639	1130.255	3955.477	5423.459	917.167
1111	6	20	5	31	292.06889	94.30056	1130.255	3955.492	5423.471	917.03
2222	6	20	5	31	309.84278	93.09	1501.849	3848.536	5960.823	920.899
2222	6	20	5	32	129.84028	266.91778	1501.848	3848.487	5960.78	921.098
3333	6	20	5	32	120.82389	266.07611	1143.475	4020.335	5584.55	923.539
3333	6	20	5	32	300.82611	93.93139	1143.472	4020.37	5584.583	923.392
RRRR	6	20	5	45	180.00972	94.38722	23.078	4999.996	4976.99	999.935
RRRR	6	20	5	45	0.00694	265.62361	23.078	4999.997	4976.989	999.939
1111	6	20	5	46	112.05917	265.70583	1130.219	3955.444	5423.282	917.162
1111	6	20	5	46	292.06167	94.30194	1130.219	3955.473	5423.324	917.008
2222	6	20	5	46	309.83667	93.0925	1501.762	3848.504	5960.643	920.832
2222	6	20	5	47	129.83639	266.9175	1501.761	3848.487	5960.643	921.1
3333	6	20	5	47	120.81639	266.075	1143.412	4020.314	5584.389	923.519
3333	6	20	5	47	300.8175	93.93361	1143.41	4020.337	5584.401	923.35
RRRR	6	20	6	0	180.00889	94.38472	23.078	4999.996	4976.99	999.936
RRRR	6	20	6	0	0.00694	265.62111	23.078	4999.997	4976.99	999.938
1111	6	20	6	0	112.05167	265.70361	1130.18	3955.428	5423.131	917.119
1111	6	20	6	1	292.0525	94.3025	1130.18	3955.443	5423.144	916.999
2222	6	20	6	1	309.83389	93.09028	1501.674	3848.519	5960.53	920.902
2222	6	20	6	1	129.83111	266.91583	1501.672	3848.468	5960.479	921.06
3333	6	20	6	2	120.80833	266.07389	1143.348	4020.289	5584.219	923.502
3333	6	20	6	2	300.81	93.93306	1143.346	4020.315	5584.242	923.367
RRRR	6	20	6	15	180.01	94.38472	23.078	4999.996	4976.99	999.936
RRRR	6	20	6	15	0.00889	265.62389	23.078	4999.996	4976.99	999.939
1111	6	20	6	16	112.0425	265.70222	1130.14	3955.399	5422.947	917.095
1111	6	20	6	16	292.04556	94.30417	1130.139	3955.431	5422.999	916.969
2222	6	20	6	16	309.82833	93.09083	1501.585	3848.496	5960.363	920.889
2222	6	20	6	17	129.82667	266.915	1501.583	3848.464	5960.334	921.041
3333	6	20	6	17	120.80083	266.07194	1143.283	4020.271	5584.058	923.469
3333	6	20	6	17	300.80417	93.93361	1143.281	4020.313	5584.11	923.36
RRRR	6	20	6	30	180.00917	94.38333	23.078	4999.996	4976.99	999.936
RRRR	6	20	6	30	0.00694	265.62278	23.078	4999.997	4976.99	999.939
1111	6	20	6	31	112.03472	265.70083	1130.098	3955.383	5422.79	917.071
1111	6	20	6	31	292.03611	94.30556	1130.095	3955.405	5422.81	916.944
2222	6	20	6	31	309.82278	93.09194	1501.497	3848.472	5960.194	920.866
2222	6	20	6	32	129.82222	266.91611	1501.495	3848.453	5960.186	921.078
3333	6	20	6	32	120.79472	266.07222	1143.217	4020.263	5583.916	923.479
3333	6	20	6	32	300.79528	93.93583	1143.215	4020.282	5583.923	923.322
RRRR	6	20	6	45	180.00861	94.38417	23.078	4999.996	4976.99	999.936
RRRR	6	20	6	45	0.0075	265.62306	23.078	4999.997	4976.989	999.939
1111	6	20	6	45	112.0275	265.70083	1130.056	3955.369	5422.643	917.073
1111	6	20	6	46	292.02778	94.305	1130.054	3955.38	5422.642	916.957
2222	6	20	6	46	309.81833	93.09167	1501.41	3848.465	5960.05	920.875
2222	6	20	6	47	129.81722	266.91472	1501.407	3848.44	5960.029	921.046
3333	6	20	6	47	120.78722	266.07278	1143.151	4020.242	5583.754	923.496
