t_hat,r_hat,r
26.7083,768697,768686
26.7188,768586,768575
26.8333,767444,767425
26.8438,767357,767337
26.8542,767247,767226
26.8646,767152,767130
26.8750,767024,767001
26.8854,766947,766924
26.8958,766847,766823
26.9063,766741,766717
26.9167,766646,766621
26.9271,766539,766514
26.9375,766440,766415
26.9590,766223,766197
26.9688,766142,766116
26.9792,766023,765997
26.9896,765930,765904
27.0000,765842,765815
27.0104,765749,765722
27.0208,765638,765610
27.0313,765542,765514
27.0417,765454,765425
27.0521,765347,765318
27.0729,765165,765135
27.0938,764948,764917
27.1042,764873,764841
27.1146,764767,764735
27.1250,764695,764663
27.1354,764602,764570
27.1458,764509,764477
27.1563,764417,764385
27.1771,764229,764197
27.1875,764134,764102
27.1979,764048,764016
27.2083,763949,763917
27.2292,763749,763718
27.2396,763649,763618
27.2500,763552,763522
27.2708,763352,763322
27.2813,763268,763239
27.3021,763077,763049
27.3125,762986,762958
27.3229,762892,762864
27.3333,762779,762752
27.3438,762698,762671
27.3542,762590,762563
27.3646,762490,762463
27.5965,760349,760327
27.6424,759942,759921
27.7160,759240,759219
27.7382,759027,759005
27.7611,758812,758789
27.7861,758559,758535
27.8132,758315,758289
27.8854,757615,757586
27.8958,757496,757467
27.9063,757403,757374
27.9167,757305,757275
27.9271,757206,757176
27.9375,757106,757075
27.9479,757010,756979
27.9583,756904,756873
27.9688,756809,756777
27.9792,756708,756676
27.9896,756613,756581
28.0000,756523,756491
28.0104,756414,756382
28.0208,756329,756297
28.0313,756233,756201
28.0417,756144,756112
28.0521,756051,756019
28.0625,755954,755922
28.0729,755852,755820
28.0833,755755,755722
28.0938,755670,755637
28.1042,755588,755555
28.1146,755488,755455
28.1250,755401,755368
28.1354,755309,755276
28.1458,755220,755187
28.1563,755128,755094
28.1667,755038,755004
28.1771,754948,754914
28.1875,754858,754824
28.1979,754766,754732
28.2083,754675,754641
28.2188,754589,754555
28.2292,754495,754462
28.2396,754403,754370
28.2500,754316,754283
28.2604,754219,754187
28.2708,754133,754101
28.2813,754038,754006
28.2917,753945,753914
28.3021,753863,753832
28.3542,753386,753357
28.3750,753196,753168
28.3854,753096,753069
28.3958,753008,752981
28.4063,752906,752880
28.4167,752820,752794
28.4271,752746,752721
28.4479,752540,752516
28.4583,752449,752426
28.4688,752348,752325
28.4896,752141,752119
28.5000,752049,752028
28.5208,751861,751840
28.5313,751762,751741
28.5417,751687,751666
28.5521,751586,751565
28.5736,751391,751370
28.5944,751201,751180
28.6042,751110,751090
28.6146,751009,750989
28.6250,750921,750901
28.6354,750826,750806
28.6563,750639,750620
28.6667,750549,750531
28.6771,750451,750433
28.6875,750362,750344
28.6979,750265,750247
29.4479,743372,743345
29.4583,743280,743254
29.4792,743085,743059
29.4896,743003,742978
29.5000,742915,742890
29.5792,742175,742150
29.5938,742037,742011
29.6042,741939,741913
29.6153,741844,741818
29.6257,741753,741727
29.6361,741658,741632
29.6465,741572,741546
29.6563,741474,741448
29.6771,741283,741257
29.6875,741181,741155
29.6979,741092,741066
29.7083,741012,740986
29.7326,740778,740752
29.7347,740760,740734
29.7396,740697,740671
29.7500,740608,740581
29.7604,740512,740485
29.7708,740418,740391
29.7813,740317,740290
29.7917,740223,740195
29.8021,740125,740097
29.8125,740024,739996
29.8229,739928,739900
29.8333,739840,739812
29.8542,739633,739604
29.8646,739535,739506
29.8750,739439,739410
29.8854,739331,739302
29.8958,739232,739203
29.9063,739141,739112
29.9167,739031,739002
29.9271,738934,738906
29.9375,738836,738807
29.9479,738719,738690
29.9583,738625,738596
29.9688,738532,738503
29.9792,738427,738398
29.9896,738327,738298
30.0000,738226,738197
30.0104,738127,738098
30.0208,738031,738002
30.0313,737928,737899
30.0417,737837,737808
30.0521,737741,737712
30.0625,737642,737613
30.0729,737544,737515
30.0833,737449,737420
30.0938,737356,737327
30.1042,737263,737234
30.1146,737165,737136
30.1250,737071,737041
30.1354,736979,736949
30.1458,736880,736850
30.1563,736786,736756
30.1667,736692,736662
30.1771,736594,736564
30.1875,736502,736472
30.1979,736409,736379
30.2083,736322,736292
30.2188,736228,736198
30.2292,736139,736109
30.2396,736037,736007
30.2500,735951,735921
30.2604,735838,735808
30.2708,735760,735731
30.2813,735657,735628
30.2917,735576,735547
30.3021,735477,735448
30.3125,735364,735336
30.3229,735267,735239
30.3333,735187,735159
30.3438,735088,735061
30.3542,735004,734977
30.3646,734910,734883
30.3750,734823,734796
30.3854,734722,734695
30.3958,734624,734597
30.4063,734529,734502
30.4167,734436,734409
30.4271,734331,734305
30.4375,734238,734212
30.4479,734136,734110
30.4583,734042,734016
30.4688,733963,733937
30.4792,733863,733837
30.4896,733762,733736
30.5000,733675,733649
30.5208,733472,733445
30.5313,733376,733349
30.5417,733281,733254
30.5521,733189,733162
30.5625,733100,733073
30.5729,732994,732966
30.5833,732910,732882
30.5938,732803,732775
30.6042,732724,732696
30.6146,732631,732603
30.6250,732525,732496
30.6354,732439,732410
30.6979,731883,731854
30.7083,731789,731760
30.7188,731708,731679
30.7292,731615,731587
30.7396,731524,731496
30.7500,731428,731400
30.7604,731321,731293
30.7708,731238,731210
30.7813,731133,731105
30.7924,731038,731010
30.8333,730676,730649
30.8542,730484,730457
30.8646,730391,730364
30.8750,730294,730267
30.8854,730197,730170
30.9375,729712,729685
30.9479,729613,729586
31.0104,729019,728991
31.0313,728825,728797
31.0521,728624,728596
31.0625,728518,728491
31.0729,728423,728396
31.1250,727945,727920
31.1354,727854,727829
31.1563,727659,727634
31.1667,727568,727544
31.4278,725143,725121
31.4792,724617,724595
31.4896,724515,724493
31.5000,724414,724392
31.5104,724301,724279
31.5417,723994,723971
31.5521,723899,723876
31.5625,723785,723762
31.5833,723581,723559
31.6458,722973,722952
31.6667,722770,722749
31.6771,722652,722631
31.6875,722561,722540
31.6979,722468,722447
31.7708,721717,721695
31.7813,721627,721604
31.8125,721309,721286
31.8229,721211,721188
31.8333,721096,721073
31.8438,720973,720950
31.8646,720765,720742
31.8757,720649,720627
31.8958,720435,720413
31.9063,720311,720289
31.9271,720091,720069
31.9375,719970,719948
32.3854,714605,714590
32.3958,714472,714456
32.4063,714329,714313
32.4167,714195,714179
32.6563,710900,710880
32.7083,710170,710149
32.7292,709862,709841
32.7396,709717,709696
32.7500,709571,709550
32.7604,709423,709402
32.7708,709283,709262
32.7813,709125,709104
32.7917,708973,708952
32.8021,708830,708809
32.8125,708685,708664
32.8229,708530,708510
32.8333,708386,708366
32.8542,708081,708061
32.8646,707942,707922
32.8750,707792,707772
32.8854,707647,707627
32.8958,707503,707483
32.9063,707347,707326
32.9167,707210,707189
32.9271,707054,707033
33.1667,703781,703751
33.1875,703498,703468
33.1979,703358,703327
33.2813,702332,702301
33.3229,701823,701793
33.3646,701340,701311
33.3750,701232,701203
33.3854,701105,701076
33.3958,700970,700941
33.4063,700867,700839
33.4167,700731,700703
33.4271,700613,700585
33.4375,700483,700455
33.4479,700375,700347
33.4583,700257,700229
33.4688,700125,700098
33.4792,700013,699986
33.4896,699875,699848
33.5000,699781,699754
33.5104,699639,699612
33.5208,699530,699503
33.5313,699391,699365
33.5417,699277,699251
33.5521,699163,699137
33.5625,699038,699012
33.5729,698931,698905
33.5938,698693,698667
33.6042,698563,698537
33.6146,698458,698432
33.6250,698333,698307
33.6354,698213,698186
33.6458,698082,698055
33.6563,697984,697957
33.6667,697851,697824
33.6771,697745,697718
33.6875,697633,697605
33.6979,697527,697499
33.7083,697400,697372
33.7188,697281,697252
33.7292,697161,697132
33.7500,696947,696917
33.7604,696831,696801
33.7708,696733,696702
33.7813,696618,696587
33.7917,696496,696465
33.8021,696373,696341
33.8125,696274,696242
33.8229,696170,696137
33.8333,696051,696018
33.8438,695947,695914
33.8542,695834,695801
33.8646,695722,695688
33.8750,695620,695586
33.8854,695514,695480
33.8958,695399,695365
33.9063,695286,695251
33.9167,695174,695140
33.9271,695076,695041
33.9375,694956,694921
33.9479,694859,694824
33.9583,694748,694713
33.9688,694641,694606
33.9792,694530,694495
33.9896,694419,694384
34.0000,694315,694279
34.0104,694209,694173
34.0208,694097,694061
34.0313,693979,693943
34.0417,693876,693840
34.0521,693780,693744
34.0625,693671,693635
34.0729,693563,693527
34.0833,693448,693412
34.0938,693326,693290
34.1042,693236,693200
34.1146,693129,693093
34.1354,692922,692886
34.1458,692811,692775
34.1667,692605,692569
34.3438,690935,690901
34.3542,690829,690796
34.3646,690725,690692
34.3750,690633,690600
34.3854,690531,690499
34.3958,690454,690422
34.4063,690358,690326
34.4167,690259,690228
34.4271,690163,690132
34.4375,690065,690034
34.4479,689968,689937
34.4583,689891,689861
34.4688,689791,689761
34.4792,689688,689659
34.4896,689590,689561
34.5000,689492,689463
34.5104,689397,689369
34.5208,689308,689280
34.5313,689228,689200
34.5417,689138,689111
34.5521,689023,688996
34.5729,688837,688810
34.5833,688734,688707
34.5938,688631,688604
34.6042,688542,688515
34.6146,688452,688425
34.6250,688347,688320
34.6354,688262,688235
34.6458,688166,688139
34.6563,688059,688031
34.6667,687966,687938
34.6771,687881,687853
34.6875,687787,687759
34.6979,687693,687665
34.7083,687597,687568
34.7188,687510,687481
34.7292,687401,687371
34.7396,687334,687304
34.7500,687241,687211
34.7604,687141,687110
34.7708,687072,687041
34.7813,686974,686943
34.7917,686889,686857
34.8021,686788,686757
34.8229,686605,686573
34.8333,686528,686496
34.8438,686437,686406
34.8542,686352,686321
34.8646,686267,686236
34.8750,686168,686137
34.8854,686074,686043
34.8958,685985,685955
34.9063,685899,685869
34.9167,685825,685796
34.9271,685739,685710
34.9375,685634,685605
34.9479,685553,685524
34.9583,685455,685426
34.9688,685385,685356
34.9792,685296,685267
34.9896,685208,685179
35.0000,685125,685095
35.0104,685034,685004
35.0208,684957,684927
35.0313,684855,684825
35.0417,684767,684738
35.0521,684678,684648
35.0625,684578,684549
35.0729,684493,684464
35.0833,684402,684374
35.0938,684323,684295
35.1042,684231,684204
35.1146,684135,684109
35.1250,684054,684029
35.1354,683965,683940
35.1458,683866,683842
35.1563,683780,683757
35.1667,683693,683670
35.1771,683600,683578
35.1875,683522,683500
35.1979,683428,683406
35.2083,683325,683303
35.2188,683250,683228
35.2292,683164,683142
35.2396,683076,683053
35.2500,682976,682953
35.2604,682890,682866
35.2708,682810,682785
35.2813,682716,682691
35.3021,682542,682516
35.3542,682149,682121
35.3646,682055,682027
35.3750,681976,681948
35.3854,681906,681878
35.3958,681817,681788
35.4063,681732,681703
35.4167,681654,681625
35.4375,681491,681462
35.4479,681398,681369
35.4583,681320,681291
35.4792,681163,681134
35.4896,681080,681051
35.5000,680992,680963
35.5104,680918,680889
35.5208,680820,680791
35.5313,680740,680712
35.5417,680657,680629
35.5521,680573,680545
35.5625,680491,680464
35.5729,680408,680381
35.5833,680317,680290
35.5938,680248,680222
35.6042,680156,680130
35.6146,680062,680036
35.6250,679995,679969
35.6354,679903,679877
35.6458,679819,679793
35.6563,679745,679719
35.6667,679660,679634
35.6771,679575,679549
35.6875,679473,679447
35.7083,679324,679297
35.7188,679223,679196
35.7396,679054,679026
35.7500,678981,678953
35.7604,678900,678872
35.7917,678642,678613
35.8021,678548,678519
35.8229,678400,678371
36.4063,673724,673693
36.5000,673015,672990
36.5104,672941,672917
36.5208,672858,672835
36.5313,672770,672748
36.5417,672695,672673
36.5521,672628,672607
36.5625,672541,672520
36.5729,672473,672453
36.5833,672373,672354
36.5938,672282,672263
36.6042,672201,672182
36.6146,672121,672102
36.6250,672044,672025
36.6458,671887,671868
36.6563,671804,671785
36.6667,671706,671687
36.6771,671637,671618
36.6875,671540,671520
36.6979,671476,671456
36.7083,671385,671365
36.7188,671293,671272
36.7292,671220,671199
36.7396,671128,671106
36.7500,671054,671032
36.7604,670965,670943
36.7708,670877,670854
36.7813,670802,670779
36.7917,670717,670693
36.8021,670640,670616
36.8125,670549,670525
36.8229,670479,670454
36.8333,670397,670372
36.8438,670320,670295
36.8646,670153,670127
36.8750,670081,670055
36.8854,670012,669986
36.8958,669927,669900
36.9063,669842,669815
36.9167,669760,669733
36.9271,669682,669655
36.9375,669617,669590
36.9479,669519,669492
36.9583,669468,669441
36.9792,669312,669284
36.9896,669236,669208
37.0000,669156,669128
37.0104,669076,669048
37.0208,668988,668960
37.0313,668907,668879
37.0417,668841,668813
37.0521,668757,668729
37.0625,668671,668643
37.0729,668589,668561
37.0833,668509,668481
37.0938,668433,668405
37.1042,668360,668332
37.1146,668274,668246
37.1250,668182,668154
37.1354,668116,668088
37.1458,668023,667995
37.1563,667949,667921
37.1667,667862,667834
37.1771,667776,667748
37.1875,667693,667666
37.1979,667616,667588
37.2083,667514,667487
37.2188,667437,667410
37.2292,667352,667325
37.2396,667254,667227
37.2500,667181,667154
37.2604,667076,667049
37.2708,666999,666973
37.2813,666909,666883
37.2917,666837,666811
37.3021,666742,666716
37.3125,666657,666631
37.3229,666580,666555
37.3333,666502,666477
37.3438,666418,666394
37.3542,666327,666303
37.3646,666243,666219
37.3854,666078,666055
37.4063,665913,665892
37.4271,665753,665733
37.4375,665668,665649
38.4896,655669,655667
38.5000,655587,655585
38.5104,655487,655485
38.5417,655205,655203
38.5625,655006,655004
38.5833,654820,654819
38.6042,654619,654618
38.6250,654416,654416
38.7813,652929,652930
38.7917,652833,652834
38.8021,652720,652720
38.8125,652620,652620
38.8229,652511,652510
38.8333,652434,652433
38.8438,652310,652308
38.8542,652229,652227
38.8646,652124,652121
38.8750,652043,652040
38.8958,651831,651827
38.9063,651737,651732
38.9167,651647,651641
38.9271,651572,651565
38.9375,651482,651475
38.9479,651393,651385
38.9583,651297,651288
38.9688,651227,651218
38.9792,651125,651115
38.9896,651042,651031
39.0000,650953,650942
39.0104,650853,650842
39.0208,650787,650775
39.0313,650695,650683
39.0417,650614,650602
39.0521,650529,650516
39.0625,650439,650426
39.0729,650350,650337
39.0833,650257,650243
39.0938,650180,650166
39.1042,650088,650074
39.1146,650000,649985
39.1250,649908,649893
39.1354,649825,649810
39.1458,649740,649724
39.1563,649651,649635
39.1667,649565,649549
39.1771,649473,649456
39.1875,649375,649358
39.1979,649278,649261
39.2083,649196,649179
39.2188,649092,649074
39.2292,648999,648981
39.2396,648896,648878
39.2604,648738,648721
39.2708,648634,648617
39.2813,648540,648523
39.2917,648438,648422
39.3021,648362,648346
39.3125,648262,648247
39.3229,648181,648166
39.3333,648084,648070
39.3438,647987,647974
39.3542,647892,647880
39.3646,647793,647782
39.3750,647698,647688
39.3854,647626,647617
39.3958,647543,647535
39.4063,647458,647451
39.4167,647363,647357
39.4271,647278,647273
39.4479,647114,647111
39.4583,647004,647002
39.4688,646922,646921
39.4792,646842,646841
39.4896,646765,646764
39.5104,646596,646595
39.5313,646426,646425
39.5417,646345,646343
39.5938,645917,645913
39.6042,645809,645804
39.6146,645727,645722
39.6250,645658,645652
39.6354,645573,645567
39.6458,645470,645464
39.6563,645395,645389
39.6667,645294,645289
39.6771,645209,645204
39.6875,645124,645119
39.6979,645025,645020
39.7083,644932,644927
39.7188,644857,644852
39.7292,644749,644744
39.7396,644650,644645
39.7500,644569,644564
39.8958,643255,643244
39.9063,643166,643155
39.9167,643070,643058
39.9271,642982,642969
39.9375,642898,642885
39.9479,642793,642780
39.9583,642720,642706
39.9896,642454,642439
40.0104,642294,642278
40.0521,641956,641939
40.0625,641881,641864
40.0729,641789,641772
40.0833,641718,641700
40.0938,641633,641615
40.1042,641549,641531
40.1146,641472,641454
40.1250,641388,641369
40.1354,641306,641287
40.1458,641220,641201
40.1563,641145,641126
40.1667,641056,641037
40.1771,640973,640954
40.1875,640887,640868
40.1979,640806,640787
40.2083,640713,640694
40.2188,640635,640616
40.2396,640452,640433
40.2500,640362,640344
40.2604,640272,640254
40.2708,640189,640171
40.2917,640016,639999
40.3021,639919,639902
40.3125,639830,639813
40.3229,639747,639731
40.3333,639650,639634
40.3438,639555,639539
40.3542,639462,639446
40.3646,639357,639341
40.3750,639272,639256
40.3854,639197,639181
40.3958,639091,639075
40.4063,639007,638991
40.4271,638839,638823
40.4375,638752,638736
40.4479,638665,638649
40.4583,638574,638559
40.4792,638398,638383
40.5000,638229,638215
40.5208,638059,638046
40.5417,637898,637885
40.5833,637558,637546
40.6042,637378,637366
40.6250,637226,637214
40.6354,637135,637122
40.6458,637050,637037
40.6563,636974,636961
40.6667,636884,636870
40.6771,636805,636791
40.6875,636716,636701
40.7083,636530,636514
40.7188,636424,636407
40.7396,636244,636225
40.7500,636152,636132
40.7604,636068,636047
40.7708,635971,635949
40.7813,635878,635856
40.7917,635779,635756
40.8021,635696,635673
40.8125,635610,635586
40.8229,635509,635485
40.8333,635419,635394
40.8438,635318,635293
40.8542,635234,635208
40.8750,635045,635018
40.8854,634956,634929
40.8958,634878,634850
40.9063,634787,634759
40.9167,634692,634663
40.9271,634594,634565
40.9375,634513,634484
40.9479,634424,634394
40.9583,634344,634314
40.9688,634261,634231
40.9792,634174,634143
40.9896,634088,634057
41.0000,634012,633980
41.0104,633921,633889
41.0208,633840,633808
41.0313,633761,633728
41.0417,633673,633640
41.0521,633599,633566
41.0625,633509,633475
41.0729,633444,633410
41.0833,633361,633327
41.0938,633280,633246
41.1042,633205,633171
41.1146,633114,633080
41.1250,633037,633003
41.1354,632961,632927
41.1458,632880,632846
41.1563,632796,632762
41.1667,632728,632694
41.1771,632641,632607
41.1875,632558,632524
41.1979,632480,632446
41.2083,632392,632357
41.2188,632317,632282
41.2292,632227,632192
41.2396,632145,632110
41.2500,632072,632037
41.2604,631982,631947
41.2708,631880,631845
41.2917,631719,631685
41.3229,631464,631431
41.3438,631278,631246
41.3542,631185,631153
41.3646,631105,631074
41.3750,631024,630993
41.3854,630920,630889
41.3958,630835,630805
41.4063,630746,630716
41.4271,630578,630549
41.4375,630481,630452
41.4479,630408,630379
41.4583,630317,630288
41.4688,630240,630211
41.4792,630153,630125
41.4896,630061,630033
41.5000,629991,629963
41.5104,629912,629884
41.5208,629827,629799
41.5313,629741,629714
41.5417,629657,629630
41.5521,629579,629552
41.5625,629517,629491
41.5729,629444,629418
41.5833,629363,629337
41.5938,629271,629246
41.6042,629182,629157
41.6250,629033,629009
41.6458,628861,628837
41.6563,628789,628766
41.6667,628701,628678
41.6771,628624,628601
41.6875,628526,628503
41.6979,628466,628443
41.7083,628367,628343
41.7188,628277,628253
41.7292,628205,628181
41.7396,628122,628097
41.7500,628020,627995
41.7604,627939,627913
41.7813,627759,627732
41.7917,627682,627654
41.8021,627586,627557
41.8125,627491,627461
41.8229,627404,627373
41.8333,627309,627277
41.8542,627138,627104
41.8646,627062,627028
41.8750,626971,626936
41.8854,626881,626845
41.8958,626791,626755
41.9063,626697,626661
41.9167,626614,626577
41.9271,626541,626504
41.9375,626450,626413
41.9479,626367,626330
41.9583,626272,626235
41.9688,626173,626136
41.9792,626086,626049
41.9896,626013,625976
42.0000,625931,625894
42.0104,625843,625806
42.0208,625766,625729
42.0313,625686,625648
42.0417,625603,625565
42.0521,625521,625483
42.0625,625434,625396
42.0729,625354,625315
42.0833,625275,625236
42.0938,625203,625164
42.1042,625128,625089
42.3125,623525,623490
42.3229,623437,623403
42.3333,623339,623306
42.3438,623266,623234
42.3542,623170,623139
42.3646,623087,623056
42.3750,623005,622975
42.3854,622920,622891
42.3958,622833,622805
42.4063,622740,622713
42.4167,622651,622624
42.4271,622573,622547
42.4375,622486,622461
42.4479,622393,622368
42.4583,622301,622277
42.4688,622222,622198
42.4792,622127,622103
42.4896,622051,622028
42.5000,621971,621947
42.5104,621887,621864
42.5208,621810,621787
42.5313,621719,621696
42.5417,621640,621616
42.5521,621534,621510
42.5625,621464,621440
42.5729,621398,621374
42.5833,621311,621287
42.6042,621159,621135
42.6146,621074,621050
42.6250,620997,620973
42.6354,620909,620885
42.6458,620817,620793
42.6563,620746,620722
42.6667,620654,620630
42.6771,620581,620557
42.6875,620505,620481
42.6979,620411,620387
42.7083,620344,620321
42.7188,620266,620243
42.7292,620183,620160
42.7396,620091,620068
42.7500,620016,619993
42.7604,619926,619902
42.7708,619850,619826
42.7813,619751,619726
42.7917,619670,619645
42.8021,619588,619562
42.8125,619497,619470
42.8229,619386,619359
42.8333,619301,619273
42.8438,619220,619192
42.8542,619141,619112
42.8646,619033,619004
42.8750,618944,618915
42.8854,618863,618833
42.8958,618767,618738
42.9063,618674,618645
42.9167,618599,618570
42.9271,618503,618474
42.9375,618411,618382
42.9479,618324,618295
42.9583,618225,618197
42.9688,618146,618118
42.9896,617961,617933
43.3750,614920,614896
43.3854,614816,614792
43.3958,614733,614709
43.4063,614637,614613
43.4167,614555,614531
43.4271,614457,614432
43.4375,614366,614341
43.4479,614281,614256
43.4583,614191,614166
43.4688,614116,614091
43.4792,614019,613994
43.4896,613941,613916
43.5000,613863,613839
43.5111,613768,613744
43.5208,613695,613671
43.5313,613594,613571
43.5417,613514,613491
43.5521,613421,613398
43.5625,613345,613322
43.5729,613265,613243
43.5833,613176,613154
43.5938,613096,613074
43.6042,613015,612994
43.6146,612934,612913
43.6250,612854,612833
43.6354,612794,612773
43.6458,612698,612677
43.6563,612627,612605
43.6667,612538,612516
43.6771,612474,612452
43.6875,612364,612342
43.6979,612292,612269
43.7083,612204,612181
43.7188,612116,612092
43.7292,612043,612019
43.7396,611959,611935
43.7500,611879,611854
43.7604,611794,611769
43.7708,611700,611674
43.7813,611635,611609
43.7917,611538,611512
43.8021,611452,611426
43.8125,611368,611341
43.8229,611276,611249
43.8333,611179,611152
43.8438,611083,611056
43.8542,611023,610996
43.8646,610911,610884
43.8750,610836,610809
43.8854,610740,610713
43.8958,610647,610620
43.9063,610556,610529
43.9167,610451,610424
43.9271,610350,610322
43.9375,610272,610244
43.9479,610185,610156
43.9583,610082,610053
43.9688,609999,609969
43.9792,609908,609878
43.9896,609808,609777
44.0000,609722,609690
44.0104,609640,609608
44.0208,609529,609497
44.0313,609445,609412
44.0417,609348,609315
44.0521,609266,609233
44.0729,609097,609063
44.0833,609009,608975
44.0938,608926,608891
44.1042,608841,608806
44.1146,608758,608723
44.1250,608678,608642
44.1354,608585,608549
44.1458,608495,608459
44.1563,608412,608376
44.1667,608338,608301
44.1771,608252,608215
44.1875,608164,608127
44.1979,608080,608043
44.2083,607998,607962
44.2188,607928,607892
44.2292,607842,607806
44.2396,607751,607716
44.2500,607674,607639
44.2604,607587,607553
44.2708,607509,607476
44.2813,607414,607382
44.2917,607327,607295
44.3021,607243,607212
44.3125,607157,607128
44.3229,607070,607042
44.3333,606975,606948
44.3438,606897,606871
44.3542,606818,606793
44.3646,606724,606700
44.3750,606644,606620
44.3854,606551,606528
44.3958,606466,606444
44.4063,606372,606350
44.4167,606279,606258
44.4271,606182,606161
44.4375,606094,606074
44.4479,606013,605993
44.4583,605906,605887
44.4688,605820,605801
44.4792,605737,605719
44.4896,605648,605630
44.5000,605551,605533
44.5104,605474,605457
44.5208,605384,605367
44.5313,605294,605278
44.5424,605197,605181
44.5521,605109,605093
44.5625,605032,605017
44.5729,604945,604931
44.5833,604858,604844
44.5938,604760,604746
44.6042,604667,604654
44.6146,604589,604576
44.6250,604515,604502
44.6354,604434,604421
44.6458,604324,604311
44.6563,604238,604225
44.6667,604173,604159
44.6771,604086,604072
44.6875,603996,603981
44.6979,603908,603893
44.7083,603823,603807
44.7188,603737,603720
44.7292,603652,603634
44.7396,603559,603540
44.7500,603464,603444
44.7604,603385,603363
44.7708,603307,603284
44.7813,603215,603191
44.7917,603119,603093
44.8021,603022,602996
44.8125,602946,602919
44.8229,602851,602823
44.8333,602763,602735
44.8542,602562,602533
44.8646,602482,602453
44.8750,602392,602363
44.8854,602307,602278
44.8958,602198,602169
44.9063,602111,602083
44.9167,602006,601978
44.9271,601917,601889
44.9375,601819,601791
44.9479,601728,601700
44.9583,601639,601611
44.9688,601554,601526
44.9792,601447,601419
44.9896,601357,601329
45.0000,601265,601237
45.0104,601172,601144
45.0208,601076,601047
45.0313,600981,600952
45.0424,600872,600843
45.0521,600794,600765
45.0625,600701,600671
45.0729,600607,600577
45.0833,600519,600489
45.0938,600426,600396
45.1042,600344,600314
45.1146,600245,600215
45.1250,600152,600122
45.1354,600064,600034
45.1458,599976,599946
45.1563,599895,599864
45.1667,599806,599775
45.1771,599720,599689
45.1875,599633,599602
45.1979,599552,599521
45.2083,599460,599429
45.2188,599370,599339
45.2292,599290,599259
45.2396,599204,599173
45.2500,599137,599105
45.2604,599037,599006
45.2708,598947,598916
45.2813,598856,598824
45.2917,598774,598743
45.3021,598691,598660
45.3125,598605,598574
45.3229,598525,598495
45.3340,598422,598392
45.3438,598338,598308
45.3542,598266,598237
45.3646,598177,598148
45.3750,598078,598049
45.3854,597991,597963
45.3958,597898,597870
